Wavelength [nm]	Wavenumbers [1/cm]	Intensity
623.909	16027.97	-35.3
624.482	16013.27	-22.58
625.055	15998.58	8.472
625.628	15983.93	10.33
626.201	15969.30	4.651
626.775	15954.70	19.54
627.348	15940.13	9.707
627.921	15925.58	14.85
628.494	15911.06	9.078
629.067	15896.56	3.969
629.640	15882.09	11.65
630.213	15867.65	25.74
630.786	15853.24	21.78
631.359	15838.85	15.25
631.932	15824.48	8.531
632.505	15810.14	3.433
633.078	15795.83	-3.085
633.651	15781.55	2.341
634.225	15767.29	17.32
634.798	15753.05	16.53
635.371	15738.84	21.38
635.944	15724.66	23.68
636.517	15710.50	14.03
637.090	15696.37	9.85
637.663	15682.27	12.97
638.236	15668.18	29.89
638.809	15654.13	35.31
639.382	15640.10	25.35
639.955	15626.09	29.32
640.528	15612.11	31.58
641.101	15598.16	23.37
641.674	15584.23	12.15
642.248	15570.32	3.508
642.821	15556.44	4.604
643.394	15542.58	13.29
643.967	15528.75	29.68
644.540	15514.94	17.04
645.113	15501.16	5.008
645.686	15487.40	11.17
646.259	15473.67	3.403
646.832	15459.96	10.33
647.405	15446.28	13.27
647.978	15432.62	3.909
648.551	15418.98	3.97
649.124	15405.37	4.716
649.698	15391.78	5.087
650.271	15378.21	9.92
650.844	15364.67	7.134
651.417	15351.16	-4.135
651.990	15337.66	-6.426
652.563	15324.19	5.295
653.136	15310.75	6.335
653.709	15297.32	16.13
654.282	15283.93	16.61
654.855	15270.55	-1.812
655.428	15257.20	8.535
656.001	15243.87	33.96
656.574	15230.57	23.86
657.148	15217.28	-3.322
657.721	15204.02	5.507
658.294	15190.79	1.174
658.867	15177.58	-8.186
659.440	15164.39	-2.44
660.013	15151.22	8.33
660.586	15138.07	19.09
661.159	15124.95	-1.391
661.732	15111.85	-9.757
662.305	15098.78	-11.42
662.878	15085.73	3.87
663.451	15072.69	6.722
664.024	15059.69	-8.126
664.598	15046.70	-0.6724
665.171	15033.74	11.76
665.744	15020.80	7.818
666.317	15007.88	-9.703
666.890	14994.98	-14
